metric,train_mean,train_std,mcts_mean,mcts_std,KL,JS
rank,12.000000,0.000000,12.000000,0.000000,0.000000,0.000000
density,0.103982,0.030663,0.228200,0.067405,20.769834,0.343483
row_wt_mean,2.599542,0.766575,5.705000,1.685128,18.493486,0.343483
row_wt_std,1.928072,1.073077,2.296968,0.688300,3.134143,0.092775
row_wt_max,7.342500,3.782221,9.598000,2.737589,3.237401,0.175808
col_wt_mean,1.247780,0.367956,2.738400,0.808861,19.025429,0.343483
col_wt_std,0.551746,0.060087,1.463115,0.548128,9.547957,0.305311
col_wt_max,1.879000,0.326127,6.022000,1.744568,3.336924,0.043885
active_rows,12.000000,0.000000,12.000000,0.000000,0.000000,0.000000
active_cols,21.787000,4.027360,24.967000,0.178637,12.523767,0.295135
